Date,Time,Temperature,Relative Temperature,Wind,Rel. Humidity
2014-01-11,20,12.0,12.0,19.0,82.0
2014-01-11,21,13.0,13.0,0.0,82.0
2014-01-11,22,13.0,13.0,17.0,77.0
2014-01-11,23,12.0,12.0,9.0,72.0
2014-01-12,0,12.0,12.0,20.0,58.0
2014-01-12,1,10.0,7.0,22.0,54.0
2014-01-12,2,9.0,7.0,15.0,58.0
2014-01-12,3,8.0,5.0,17.0,53.0
2014-01-12,4,9.0,6.0,17.0,50.0
2014-01-12,5,8.0,5.0,19.0,53.0
2014-01-12,6,8.0,5.0,22.0,50.0
2014-01-12,7,7.0,3.0,26.0,49.0
2014-01-12,8,8.0,5.0,22.0,46.0
2014-01-12,9,8.0,4.0,28.0,50.0
2014-01-12,10,9.0,6.0,19.0,46.0
2014-01-12,11,10.0,7.0,20.0,43.0
2014-01-12,12,12.0,12.0,19.0,41.0
2014-01-12,13,11.0,11.0,22.0,41.0
2014-01-12,14,12.0,12.0,17.0,38.0
2014-01-12,15,12.0,12.0,9.0,38.0
2014-01-12,16,9.0,8.0,7.0,50.0
2014-01-12,17,8.0,6.0,9.0,50.0
2014-01-12,18,8.0,6.0,11.0,50.0
2014-01-12,19,7.0,7.0,0.0,57.0
2014-01-12,20,6.0,5.0,6.0,61.0
2014-01-12,21,4.0,2.0,7.0,75.0
2014-01-12,22,3.0,2.0,6.0,75.0
2014-01-12,23,3.0,3.0,0.0,75.0
2014-01-13,0,2.0,2.0,0.0,87.0
2014-01-13,1,3.0,3.0,0.0,75.0
2014-01-13,2,2.0,2.0,0.0,81.0
2014-01-13,3,1.0,1.0,0.0,87.0
2014-01-13,4,1.0,1.0,0.0,81.0
2014-01-13,5,1.0,1.0,0.0,81.0
2014-01-13,6,1.0,-1.0,7.0,81.0
2014-01-13,7,2.0,2.0,0.0,81.0
2014-01-13,8,3.0,3.0,0.0,81.0
2014-01-13,9,7.0,7.0,0.0,66.0
2014-01-13,10,10.0,8.0,17.0,54.0
2014-01-13,11,11.0,11.0,19.0,54.0
2014-01-13,12,13.0,13.0,22.0,51.0
2014-01-13,13,16.0,16.0,22.0,42.0
2014-01-13,14,13.0,13.0,17.0,51.0
2014-01-13,15,14.0,14.0,19.0,44.0
2014-01-13,16,11.0,11.0,19.0,54.0
2014-01-13,17,12.0,12.0,19.0,51.0
2014-01-13,18,12.0,12.0,20.0,51.0
2014-01-13,19,11.0,11.0,17.0,54.0
2014-01-13,20,9.0,7.0,13.0,62.0
2014-01-13,21,10.0,7.0,24.0,58.0
2014-01-13,22,10.0,8.0,19.0,58.0
2014-01-13,23,12.0,12.0,24.0,51.0
2014-01-14,0,12.0,12.0,22.0,54.0
